tiempo actual: 22.1 ocurrencia numero: 0
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
45,1,90,0,0,210.2,34.2638,92,0
46,1,90,0,0,229.8,405.691,92,0
47,1,90,0,0,34.4749,229.8,92,0
48,1,90,0,0,405.729,210.2,92,0
49,1,92,0,0,0,0,0,0
50,1,92,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 98.1 ocurrencia numero: 16
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
45,1,90,0,0,213.4,78.3474,97,0
46,1,90,0,0,226.6,366.498,97,0
47,1,90,0,0,71.3087,229.8,97,0
48,1,90,0,0,365.62,210.2,97,0
49,1,92,0,0,229.8,384.878,97,0
50,1,92,0,0,210.2,55.4318,97,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 103.1 ocurrencia numero: 17
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
45,1,90,0,0,213.4,129.864,102,0
46,1,90,0,0,226.6,321.661,102,0
47,1,90,0,0,110.053,234.37,102,0
48,1,90,0,0,329.8,196.17,102,0
49,1,92,0,0,229.8,333.753,102,0
50,1,92,0,0,210.2,105.317,102,0
51,1,100,0,0,210.2,34.292,102,0
52,1,100,0,0,229.8,405.937,102,0
53,1,100,0,0,34.4764,229.8,102,0
54,1,100,0,0,405.694,210.2,102,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 108.1 ocurrencia numero: 18
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
45,1,90,1,0,213.4,176.046,107,1
46,1,90,0,0,226.6,276.465,107,0
47,1,90,0,0,110.2,275.58,107,0
48,1,90,0,0,329.8,148.479,107,0
49,1,92,0,0,229.8,287.464,107,0
50,1,92,0,0,210.2,151.1,107,0
51,1,100,0,0,210.2,78.3883,107,0
52,1,100,0,0,229.8,365.079,107,0
53,1,100,0,0,76.0461,229.8,107,0
54,1,100,0,0,365.006,210.2,107,0
paquetes recibidos, entidades en rango 
1,4

tiempo actual: 113.1 ocurrencia numero: 19
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
55,1,110,0,0,210.2,34.4651,112,0
56,1,110,0,0,229.8,405.552,112,0
57,1,110,0,0,34.3248,229.8,112,0
58,1,110,0,0,405.889,210.2,112,0
59,1,112,0,0,0,0,0,0
60,1,112,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 118.1 ocurrencia numero: 20
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
55,1,110,0,0,213.4,79.6964,117,0
56,1,110,0,0,226.6,370.829,117,0
57,1,110,0,0,78.5902,229.8,117,0
58,1,110,0,0,364.892,210.2,117,0
59,1,112,0,0,210.2,55.4527,117,0
60,1,112,0,0,229.8,384.272,117,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 123.1 ocurrencia numero: 21
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
55,1,110,0,0,213.4,130.038,122,0
56,1,110,0,0,226.6,333.145,122,0
57,1,110,0,0,110.2,267.8,122,0
58,1,110,0,0,329.8,190.892,122,0
59,1,112,0,0,210.2,105.938,122,0
60,1,112,0,0,229.8,339.477,122,0
61,1,120,0,0,210.2,34.3934,122,0
62,1,120,0,0,229.8,405.812,122,0
63,1,120,0,0,34.2684,229.8,122,0
64,1,120,0,0,405.465,210.2,122,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 128.1 ocurrencia numero: 22
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
55,1,110,0,0,213.4,170.529,127,0
56,1,110,0,0,226.6,296.138,127,0
57,1,110,0,0,117.483,329.8,127,0
58,1,110,0,0,329.8,138.701,127,0
59,1,112,0,0,210.413,148.468,127,0
60,1,112,0,0,229.8,296.797,127,0
61,1,120,0,0,210.2,75.9801,127,0
62,1,120,0,0,229.8,363.832,127,0
63,1,120,0,0,75.4706,229.8,127,0
64,1,120,0,0,360.425,210.2,127,0
paquetes recibidos, entidades en rango 
0,4

tiempo actual: 133.1 ocurrencia numero: 23
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
65,1,130,0,0,210.84,34.3093,132,0
66,1,130,0,0,229.8,405.552,132,0
67,1,130,0,0,34.4537,229.8,132,0
68,1,130,0,0,405.748,210.2,132,0
69,1,132,0,0,0,0,0,0
70,1,132,0,0,0,0,0,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 138.1 ocurrencia numero: 24
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
65,1,130,0,0,213.4,77.4488,137,0
66,1,130,0,0,226.6,366.191,137,0
67,1,130,0,0,78.0758,229.8,137,0
68,1,130,0,0,361.987,210.2,137,0
69,1,132,0,0,210.2,55.5692,137,0
70,1,132,0,0,229.8,384.039,137,0
paquetes recibidos, entidades en rango 
0,0

tiempo actual: 143.1 ocurrencia numero: 25
+++ id, habilitado, tiempo inicio operaciones, paquetes recibidos, reenvios, mi x actual, mi y actual, tiempo de coordenadas, si hago desvio: 
